card,common_name,scientific_name,growth_form,primary_community,all_communities,native_status,description,image,photo_credit
1,slender-leaved ice plant,Conicosia pugioniformis,perennial herb,pioneer dune,pioneer dune,Anthropogenic,"perennial herb, pioneer dune, anthropogenic",assets/cf_conicosia_pugioniformis.jpg,Calflora
2,ice plant,Carpobrotus spp.,perennial herb,pioneer dune,pioneer dune,Anthropogenic,"perennial herb, pioneer dune, anthropogenic",assets/cf_carpobrotus_spp.jpg,Calflora
3,African veldtgrass,Ehrharta calycina,perennial herb,pioneer dune,pioneer dune,Anthropogenic,"perennial herb, pioneer dune, anthropogenic",assets/cf_ehrharta_calycina.jpg,Calflora
4,Sea Rocket,Cakile maritima,,pioneer dune,pioneer dune,Anthropogenic,"pioneer dune, anthropogenic",assets/cf_cakile_maritima.jpg,Calflora
5,California croton,Croton califonicus,perennial herb,pioneer dune,pioneer dune; coastal dune scrub,Native,"perennial herb, pioneer dune, coastal dune scrub",assets/cf_croton_califonicus.jpg,Calflora
6,dune evening primrose,Camissoniopsis cheiranthifolia,perennial herb,pioneer dune,pioneer dune,Native,"perennial herb, pioneer dune",assets/cf_camissoniopsis_cheiranthifolia.jpg,Calflora
7,sand verbenas,Abronia spp.,perennial herb,pioneer dune,pioneer dune,Native,"perrennisl herb, pioneer dune (flowers can be purple or yellow)",assets/cf_abronia_spp.jpg,Calflora
8,Beach Bursage,Ambrosia chamissionis,perennial herb,pioneer dune,pioneer dune,Native,"perennial herb, pioneer dune",https://o.quizlet.com/wVy.x9HHOpKfTF3R8zPM-Q_m.jpg,Quizlet
9,Blue Gum,Eucalyptus globulus,anthropogenic tree,anthropogenic planting,,Anthropogenic,anthropogenic tree w/ two different types of leaves,https://o.quizlet.com/KGB8WeCqZD4B17sZFMj-5A_m.jpg,Quizlet
10,Monterey cypress,Hesperocyparis macrocarpa,anthropogenic tree,anthropogenic planting,,Anthropogenic,anthropogenic tree,assets/monterey_cypress.jpg,Provided
11,marsh parsley,Oenanthe sarmentosa,perennial herb,freshwater marsh,freshwater marsh,Native,"perennial herb, freshwater marsh",assets/cf_oenanthe_sarmentosa.jpg,Calflora
12,marsh pennywort,Hydrocotyle verticillata,perennial herb,freshwater marsh,freshwater marsh,Native,"perennial herb, freshwater marsh",assets/cf_hydrocotyle_verticillata.jpg,Calflora
13,Spiny rush,Juncus acutus,perennial herb,fresh & saltwater marsh,fresh & saltwater marsh,Native,"perennial herb, fresh & saltwater marsh",assets/cf_juncus_acutus.jpg,Calflora
14,Bulrush,Schoenoplectus americanus,perennial herb,saltwater marsh,saltwater marsh,Native,"perennial herb, saltwater marsh",assets/bulrush.jpg,Provided
15,salty susan,Jaumea carnosa,perennial herb,saltwater marsh,saltwater marsh,Native,"Julian's spirit plant perennial herb, saltwater marsh",assets/cf_jaumea_carnosa.jpg,Calflora
16,Pickleweed,Salicornia pacifica,perennial herb,saltwater marsh,saltwater marsh,Native,"perennial herb, saltwater marsh",assets/cf_salicornia_pacifica.jpg,Calflora
17,Alkali Heath,Frankenia salina,perennial herb,saltwater marsh,saltwater marsh,Native,"perennial herb, saltwater marsh",assets/cf_frankenia_salina.jpg,Calflora
18,salt grass,Distichlis spicata,perennial herb,saltwater marsh,saltwater marsh,Native,"perennial herb, saltwater marsh",assets/cf_distichlis_spicata.jpg,Calflora
